,Name,Repository URL,Release Name,Release URL
52,vue-server-renderer,https://github.com/vuejs/vue,v2.5.18-beta.0,https://github.com/vuejs/vue/releases/tag/v2.5.18-beta.0
53,vue-server-renderer,https://github.com/vuejs/vue,v2.5.17,https://github.com/vuejs/vue/releases/tag/v2.5.17
54,vue-server-renderer,https://github.com/vuejs/vue,v2.5.17-beta.0,https://github.com/vuejs/vue/releases/tag/v2.5.17-beta.0
55,vue-server-renderer,https://github.com/vuejs/vue,v2.5.16,https://github.com/vuejs/vue/releases/tag/v2.5.16
56,vue-server-renderer,https://github.com/vuejs/vue,v2.5.15,https://github.com/vuejs/vue/releases/tag/v2.5.15
57,vue-server-renderer,https://github.com/vuejs/vue,v2.5.14,https://github.com/vuejs/vue/releases/tag/v2.5.14
58,vue-server-renderer,https://github.com/vuejs/vue,v2.5.13,https://github.com/vuejs/vue/releases/tag/v2.5.13
59,vue-server-renderer,https://github.com/vuejs/vue,v2.5.12,https://github.com/vuejs/vue/releases/tag/v2.5.12
60,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.14,https://github.com/vuejs/vue/releases/tag/v2.6.14
61,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.13,https://github.com/vuejs/vue/releases/tag/v2.6.13
62,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.11,https://github.com/vuejs/vue/releases/tag/v2.6.11
63,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.9,https://github.com/vuejs/vue/releases/tag/v2.6.9
64,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.10,https://github.com/vuejs/vue/releases/tag/v2.6.10
65,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.8,https://github.com/vuejs/vue/releases/tag/v2.6.8
66,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.7,https://github.com/vuejs/vue/releases/tag/v2.6.7
67,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.6,https://github.com/vuejs/vue/releases/tag/v2.6.6
68,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.5,https://github.com/vuejs/vue/releases/tag/v2.6.5
69,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.4,https://github.com/vuejs/vue/releases/tag/v2.6.4
70,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.3,https://github.com/vuejs/vue/releases/tag/v2.6.3
71,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.2,https://github.com/vuejs/vue/releases/tag/v2.6.2
72,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.1,https://github.com/vuejs/vue/releases/tag/v2.6.1
73,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.0,https://github.com/vuejs/vue/releases/tag/v2.6.0
74,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.0-beta.3,https://github.com/vuejs/vue/releases/tag/v2.6.0-beta.3
75,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.0-beta.2,https://github.com/vuejs/vue/releases/tag/v2.6.0-beta.2
76,@vue/runtime-dom,https://github.com/vuejs/vue,v2.6.0-beta.1,https://github.com/vuejs/vue/releases/tag/v2.6.0-beta.1
77,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.22,https://github.com/vuejs/vue/releases/tag/v2.5.22
78,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.21,https://github.com/vuejs/vue/releases/tag/v2.5.21
79,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.20,https://github.com/vuejs/vue/releases/tag/v2.5.20
80,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.19,https://github.com/vuejs/vue/releases/tag/v2.5.19
81,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.18,https://github.com/vuejs/vue/releases/tag/v2.5.18
82,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.18-beta.0,https://github.com/vuejs/vue/releases/tag/v2.5.18-beta.0
83,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.17,https://github.com/vuejs/vue/releases/tag/v2.5.17
84,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.17-beta.0,https://github.com/vuejs/vue/releases/tag/v2.5.17-beta.0
85,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.16,https://github.com/vuejs/vue/releases/tag/v2.5.16
86,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.15,https://github.com/vuejs/vue/releases/tag/v2.5.15
87,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.14,https://github.com/vuejs/vue/releases/tag/v2.5.14
88,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.13,https://github.com/vuejs/vue/releases/tag/v2.5.13
89,@vue/runtime-dom,https://github.com/vuejs/vue,v2.5.12,https://github.com/vuejs/vue/releases/tag/v2.5.12
90,vue,https://github.com/vuejs/vue,v2.6.14,https://github.com/vuejs/vue/releases/tag/v2.6.14
91,vue,https://github.com/vuejs/vue,v2.6.13,https://github.com/vuejs/vue/releases/tag/v2.6.13
92,vue,https://github.com/vuejs/vue,v2.6.11,https://github.com/vuejs/vue/releases/tag/v2.6.11
93,vue,https://github.com/vuejs/vue,v2.6.9,https://github.com/vuejs/vue/releases/tag/v2.6.9
94,vue,https://github.com/vuejs/vue,v2.6.10,https://github.com/vuejs/vue/releases/tag/v2.6.10
95,vue,https://github.com/vuejs/vue,v2.6.8,https://github.com/vuejs/vue/releases/tag/v2.6.8
96,vue,https://github.com/vuejs/vue,v2.6.7,https://github.com/vuejs/vue/releases/tag/v2.6.7
97,vue,https://github.com/vuejs/vue,v2.6.6,https://github.com/vuejs/vue/releases/tag/v2.6.6
98,vue,https://github.com/vuejs/vue,v2.6.5,https://github.com/vuejs/vue/releases/tag/v2.6.5
99,vue,https://github.com/vuejs/vue,v2.6.4,https://github.com/vuejs/vue/releases/tag/v2.6.4
100,vue,https://github.com/vuejs/vue,v2.6.3,https://github.com/vuejs/vue/releases/tag/v2.6.3
101,vue,https://github.com/vuejs/vue,v2.6.2,https://github.com/vuejs/vue/releases/tag/v2.6.2
102,vue,https://github.com/vuejs/vue,v2.6.1,https://github.com/vuejs/vue/releases/tag/v2.6.1
103,vue,https://github.com/vuejs/vue,v2.6.0,https://github.com/vuejs/vue/releases/tag/v2.6.0
104,vue,https://github.com/vuejs/vue,v2.6.0-beta.3,https://github.com/vuejs/vue/releases/tag/v2.6.0-beta.3
105,vue,https://github.com/vuejs/vue,v2.6.0-beta.2,https://github.com/vuejs/vue/releases/tag/v2.6.0-beta.2
106,vue,https://github.com/vuejs/vue,v2.6.0-beta.1,https://github.com/vuejs/vue/releases/tag/v2.6.0-beta.1
107,vue,https://github.com/vuejs/vue,v2.5.22,https://github.com/vuejs/vue/releases/tag/v2.5.22
108,vue,https://github.com/vuejs/vue,v2.5.21,https://github.com/vuejs/vue/releases/tag/v2.5.21
109,vue,https://github.com/vuejs/vue,v2.5.20,https://github.com/vuejs/vue/releases/tag/v2.5.20
110,vue,https://github.com/vuejs/vue,v2.5.19,https://github.com/vuejs/vue/releases/tag/v2.5.19
111,vue,https://github.com/vuejs/vue,v2.5.18,https://github.com/vuejs/vue/releases/tag/v2.5.18
112,vue,https://github.com/vuejs/vue,v2.5.18-beta.0,https://github.com/vuejs/vue/releases/tag/v2.5.18-beta.0
113,vue,https://github.com/vuejs/vue,v2.5.17,https://github.com/vuejs/vue/releases/tag/v2.5.17
114,vue,https://github.com/vuejs/vue,v2.5.17-beta.0,https://github.com/vuejs/vue/releases/tag/v2.5.17-beta.0
115,vue,https://github.com/vuejs/vue,v2.5.16,https://github.com/vuejs/vue/releases/tag/v2.5.16
116,vue,https://github.com/vuejs/vue,v2.5.15,https://github.com/vuejs/vue/releases/tag/v2.5.15
117,vue,https://github.com/vuejs/vue,v2.5.14,https://github.com/vuejs/vue/releases/tag/v2.5.14
118,vue,https://github.com/vuejs/vue,v2.5.13,https://github.com/vuejs/vue/releases/tag/v2.5.13
119,vue,https://github.com/vuejs/vue,v2.5.12,https://github.com/vuejs/vue/releases/tag/v2.5.12
120,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.14,https://github.com/vuejs/vue/releases/tag/v2.6.14
121,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.13,https://github.com/vuejs/vue/releases/tag/v2.6.13
122,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.11,https://github.com/vuejs/vue/releases/tag/v2.6.11
123,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.9,https://github.com/vuejs/vue/releases/tag/v2.6.9
124,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.10,https://github.com/vuejs/vue/releases/tag/v2.6.10
125,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.8,https://github.com/vuejs/vue/releases/tag/v2.6.8
126,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.7,https://github.com/vuejs/vue/releases/tag/v2.6.7
127,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.6,https://github.com/vuejs/vue/releases/tag/v2.6.6
128,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.5,https://github.com/vuejs/vue/releases/tag/v2.6.5
129,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.4,https://github.com/vuejs/vue/releases/tag/v2.6.4
130,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.3,https://github.com/vuejs/vue/releases/tag/v2.6.3
131,@vue/compiler-dom,https://github.com/vuejs/vue,v2.6.2,https://github.com/vuejs/vue/releases/tag/v2.6.2
