,Name,Release.Name,X,Repository.URL,Release.URL
50,@vue/compiler-dom,v2.5.20,139,https://github.com/vuejs/vue,https://github.com/vuejs/vue/releases/tag/v2.5.20
51,@vue/compiler-dom,v2.5.19,140,https://github.com/vuejs/vue,https://github.com/vuejs/vue/releases/tag/v2.5.19
52,@vue/compiler-dom,v2.5.18,141,https://github.com/vuejs/vue,https://github.com/vuejs/vue/releases/tag/v2.5.18
53,@vue/compiler-dom,v2.5.18-beta.0,142,https://github.com/vuejs/vue,https://github.com/vuejs/vue/releases/tag/v2.5.18-beta.0
54,@vue/compiler-dom,v2.5.17,143,https://github.com/vuejs/vue,https://github.com/vuejs/vue/releases/tag/v2.5.17
55,@vue/compiler-dom,v2.5.17-beta.0,144,https://github.com/vuejs/vue,https://github.com/vuejs/vue/releases/tag/v2.5.17-beta.0
56,@vue/compiler-dom,v2.5.16,145,https://github.com/vuejs/vue,https://github.com/vuejs/vue/releases/tag/v2.5.16
57,@vue/compiler-dom,v2.5.15,146,https://github.com/vuejs/vue,https://github.com/vuejs/vue/releases/tag/v2.5.15
58,@vue/compiler-dom,v2.5.14,147,https://github.com/vuejs/vue,https://github.com/vuejs/vue/releases/tag/v2.5.14
59,@vue/compiler-dom,v2.5.13,148,https://github.com/vuejs/vue,https://github.com/vuejs/vue/releases/tag/v2.5.13
60,@vue/compiler-dom,v2.5.12,149,https://github.com/vuejs/vue,https://github.com/vuejs/vue/releases/tag/v2.5.12
61,react-dom-factories,v17.0.2,180,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v17.0.2
62,react-dom-factories,v17.0.1,181,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v17.0.1
63,react-dom-factories,v17.0.0,182,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v17.0.0
64,react-dom-factories,v16.14.0,183,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.14.0
65,react-dom-factories,0.14.10,184,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/0.14.10
66,react-dom-factories,v15.7.0,185,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v15.7.0
67,react-dom-factories,v16.13.1,186,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.13.1
68,react-dom-factories,v16.13.0,187,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.13.0
69,react-dom-factories,v16.12.0,188,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.12.0
70,react-dom-factories,v16.11.0,189,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.11.0
71,react-dom-factories,v16.10.2,190,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.10.2
72,react-dom-factories,v16.10.1,191,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.10.1
73,react-dom-factories,v16.10.0,192,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.10.0
74,react-dom-factories,v16.9.0,193,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.9.0
75,react-dom-factories,v16.9.0-rc.0,194,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.9.0-rc.0
76,react-dom-factories,v16.9.0-alpha.0,195,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.9.0-alpha.0
77,react-dom-factories,v16.8.6,196,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.8.6
78,react-dom-factories,v16.8.5,197,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.8.5
79,react-dom-factories,v16.8.4,198,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.8.4
80,react-dom-factories,v16.8.3,199,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.8.3
81,react-dom-factories,v16.8.2,200,https://github.com/facebook/react,https://github.com/facebook/react/releases/tag/v16.8.2
