id, name, version, is_ok, num_vuln, critical, high, medium, low
7500, jssha, v2.0.2, True
7501, jssha, v1.6.1, True
7502, jssha, v2.0.1, True
7503, jssha, v2.0.0, True
7504, jssha, v1.6.0, True
7505, jssha, v1.5.0, True
7506, oracledb, v5.3.0, True
7507, oracledb, v5.2.0, True
7508, oracledb, v5.1.0, True
7509, oracledb, v5.0.0, True
7510, oracledb, v4.2.0, True
7511, oracledb, v4.1.0, True
7512, oracledb, v4.0.1, True
7513, oracledb, v4.0.0, True
7514, oracledb, v4.0.0-dev-20190623, True
7515, oracledb, v3.1.2, True
7516, oracledb, v3.1.1, True
7517, oracledb, v3.1.0, True
7518, oracledb, v3.0.1, True
7519, oracledb, v3.0.0, True
7520, oracledb, v2.3.0, True
7521, oracledb, v2.2.0, True
7522, oracledb, v2.1.2, True
7523, oracledb, v2.1.1, True
7524, oracledb, v2.1.0, True
7525, oracledb, v2.0.15, True
7526, oracledb, v2.0.14, True
7527, oracledb, v2.0.13-dev, True
7528, oracledb, v1.13.1, True
7529, oracledb, v1.13.0, True
7530, oracledb, v1.12.2, True
7531, oracledb, v1.12.1-dev, True
7532, oracledb, v1.12.0-dev, True
7533, oracledb, v1.11.0, True
7534, oracledb, v1.10.1, True
7535, oracledb, v1.10.0, True
7536, node-xmpp, v0.13.0, False, 33, 0, 10, 20, 3
7537, node-xmpp, v0.12.1, False, 33, 0, 10, 20, 3
7538, node-xmpp, v0.12.0, False, 25, 0, 6, 16, 3
7539, node-xmpp, v0.11.1, True
7540, node-xmpp, v0.11.0, False, 25, 0, 6, 16, 3
7541, node-xmpp, v0.10.0, False, 13, 0, 5, 8, 0
7542, node-xmpp, v0.9.2, True
7543, node-xmpp, v0.9.1, True
7544, node-xmpp, v0.9.0, False, 13, 0, 5, 8, 0
7545, node-xmpp, v0.8.0, False, 13, 0, 5, 8, 0
7546, node-xmpp, v0.7.4, True
7547, node-xmpp, v0.7.3, True
7548, node-xmpp, v0.7.2, False, 13, 0, 5, 8, 0
7549, node-xmpp, v0.7.1, False, 13, 0, 5, 8, 0
7550, node-xmpp, v0.7.0, False, 13, 0, 5, 8, 0
7551, node-xmpp, v0.6.2, False, 11, 0, 5, 6, 0
7552, node-xmpp, v0.6.1, False, 11, 0, 5, 6, 0
7553, node-xmpp, v0.6.0, False, 11, 0, 5, 6, 0
7554, node-xmpp, v0.5.2, False, 11, 0, 5, 6, 0
7555, node-xmpp, v0.5.1, False, 11, 0, 5, 6, 0
7556, node-xmpp, v0.5.0, True
7557, node-xmpp, v0.3.0, True
7558, @frctl/fractal, @frctl/handlebars@1.2.13, error, Couldn't find the requested package or version
7559, @frctl/fractal, @frctl/twig@1.2.11, error, Couldn't find the requested package or version
7560, @frctl/fractal, @frctl/twig-example@0.2.7, error, Couldn't find the requested package or version
7561, @frctl/fractal, @frctl/react-example@0.2.7, error, Couldn't find the requested package or version
7562, @frctl/fractal, @frctl/handlebars-example@0.3.8, error, Couldn't find the requested package or version
7563, @frctl/fractal, @frctl/react@0.3.5, error, Couldn't find the requested package or version
7564, @frctl/fractal, @frctl/core@0.3.3, error, Couldn't find the requested package or version
7565, @frctl/fractal, @frctl/web@0.1.10, error, Couldn't find the requested package or version
7566, @frctl/fractal, @frctl/nunjucks-example@0.0.6, False, 16, 1, 9, 6, 0
7567, @frctl/fractal, @frctl/mandelbrot@1.9.4, error, Couldn't find the requested package or version
7568, @frctl/fractal, @frctl/fractal@1.5.11, error, Couldn't find the requested package or version
7569, @frctl/fractal, @frctl/nunjucks@2.0.13, error, Couldn't find the requested package or version
7570, @frctl/fractal, @frctl/core@0.3.2, error, Couldn't find the requested package or version
7571, @frctl/fractal, @frctl/web@0.1.9, error, Couldn't find the requested package or version
7572, @frctl/fractal, @frctl/nunjucks-example@0.0.5, False, 16, 1, 9, 6, 0
7573, @frctl/fractal, @frctl/twig@1.2.10, error, Couldn't find the requested package or version
7574, @frctl/fractal, @frctl/react-example@0.2.6, error, Couldn't find the requested package or version
7575, @frctl/fractal, @frctl/fractal@1.5.10, error, Couldn't find the requested package or version
7576, @frctl/fractal, @frctl/react@0.3.4, error, Couldn't find the requested package or version
7577, @frctl/fractal, @frctl/nunjucks@2.0.12, error, Couldn't find the requested package or version
7578, @frctl/fractal, @frctl/twig-example@0.2.6, error, Couldn't find the requested package or version
7579, @frctl/fractal, @frctl/handlebars-example@0.3.7, error, Couldn't find the requested package or version
7580, @frctl/fractal, @frctl/handlebars@1.2.12, error, Couldn't find the requested package or version
7581, @frctl/fractal, @frctl/mandelbrot@1.9.3, error, Couldn't find the requested package or version
7582, @frctl/fractal, @frctl/react@0.3.3, error, Couldn't find the requested package or version
7583, @frctl/fractal, @frctl/twig-example@0.2.5, error, Couldn't find the requested package or version
7584, @frctl/fractal, @frctl/nunjucks-example@0.0.4, False, 16, 1, 9, 6, 0
7585, @frctl/fractal, @frctl/handlebars@1.2.11, error, Couldn't find the requested package or version
7586, @frctl/fractal, @frctl/fractal@1.5.9, error, Couldn't find the requested package or version
7587, @frctl/fractal, @frctl/handlebars-example@0.3.6, error, Couldn't find the requested package or version
7588, mssql, v7.2.1, True
7589, mssql, v7.2.0, True
7590, mssql, v7.1.3, True
7591, mssql, v7.1.1, True
