id, name, version, is_ok, num_vuln, critical, high, medium, low
39999, @lerna/prompt, v3.21.0, True
40000, @lerna/prompt, v3.20.2, True
40001, @lerna/prompt, v3.20.1, True
40002, @lerna/prompt, v3.20.0, True
40003, @lerna/prompt, v3.19.0, True
40004, @lerna/prompt, v3.18.5, False, 2, 0, 2, 0, 0
40005, @lerna/prompt, v3.18.4, True
40006, @lerna/prompt, v3.18.3, True
40007, @lerna/prompt, v3.18.2, True
40008, @lerna/prompt, v3.18.1, True
40009, @lerna/prompt, v3.18.0, True
40010, @lerna/prompt, v3.17.0, True
40011, @lerna/prompt, v3.16.5, True
40012, @lerna/prompt, v3.16.4, True
40013, @lerna/prompt, v3.16.3, True
40014, @lerna/prompt, v3.16.2, True
40015, @lerna/prompt, v3.16.1, True
40016, @lerna/prompt, v3.16.0, True
40017, @lerna/prompt, v3.15.0, True
40018, @lerna/prompt, v3.14.2, True
40019, @lerna/prompt, v3.14.1, True
40020, @lerna/prompt, v3.14.0, True
40021, @lerna/prompt, v3.13.4, True
40022, @lerna/prompt, v3.13.3, True
40023, @lerna/prompt, v3.13.2, True
40024, @lerna/prompt, v3.13.1, True
40025, @lerna/prompt, v3.13.0, False, 2, 0, 2, 0, 0
40026, @lerna/publish, v4.0.0, False, 1, 0, 1, 0, 0
40027, @lerna/publish, v3.22.1, False, 21, 0, 19, 2, 0
40028, @lerna/publish, v3.22.0, False, 21, 0, 19, 2, 0
40029, @lerna/publish, v3.21.0, False, 21, 0, 19, 2, 0
40030, @lerna/publish, v3.20.2, False, 21, 0, 19, 2, 0
40031, @lerna/publish, v3.20.1, False, 21, 0, 19, 2, 0
40032, @lerna/publish, v3.20.0, False, 21, 0, 19, 2, 0
40033, @lerna/publish, v3.19.0, True
40034, @lerna/publish, v3.18.5, False, 21, 0, 19, 2, 0
40035, @lerna/publish, v3.18.4, False, 21, 0, 19, 2, 0
40036, @lerna/publish, v3.18.3, False, 21, 0, 19, 2, 0
40037, @lerna/publish, v3.18.2, False, 21, 0, 19, 2, 0
40038, @lerna/publish, v3.18.1, False, 21, 0, 19, 2, 0
40039, @lerna/publish, v3.18.0, False, 21, 0, 19, 2, 0
40040, @lerna/publish, v3.17.0, True
40041, @lerna/publish, v3.16.5, False, 21, 0, 19, 2, 0
40042, @lerna/publish, v3.16.4, False, 21, 0, 19, 2, 0
40043, @lerna/publish, v3.16.3, False, 21, 0, 19, 2, 0
40044, @lerna/publish, v3.16.2, False, 21, 0, 19, 2, 0
40045, @lerna/publish, v3.16.1, False, 21, 0, 19, 2, 0
40046, @lerna/publish, v3.16.0, False, 21, 0, 19, 2, 0
40047, @lerna/publish, v3.15.0, False, 20, 0, 16, 4, 0
40048, @lerna/publish, v3.14.2, False, 22, 0, 16, 6, 0
40049, @lerna/publish, v3.14.1, False, 22, 0, 16, 6, 0
40050, @lerna/publish, v3.14.0, False, 22, 0, 16, 6, 0
40051, @lerna/publish, v3.13.4, False, 18, 0, 12, 6, 0
40052, @lerna/publish, v3.13.3, False, 18, 0, 12, 6, 0
40053, @lerna/publish, v3.13.2, False, 18, 0, 12, 6, 0
40054, @lerna/publish, v3.13.1, False, 18, 0, 12, 6, 0
40055, @lerna/publish, v3.13.0, False, 18, 0, 12, 6, 0
40056, @lerna/rimraf-dir, v4.0.0, True
40057, @lerna/rimraf-dir, v3.22.1, True
40058, @lerna/rimraf-dir, v3.22.0, True
40059, @lerna/rimraf-dir, v3.21.0, True
40060, @lerna/rimraf-dir, v3.20.2, True
40061, @lerna/rimraf-dir, v3.20.1, True
40062, @lerna/rimraf-dir, v3.20.0, True
40063, @lerna/rimraf-dir, v3.19.0, True
40064, @lerna/rimraf-dir, v3.18.5, True
40065, @lerna/rimraf-dir, v3.18.4, True
40066, @lerna/rimraf-dir, v3.18.3, True
40067, @lerna/rimraf-dir, v3.18.2, True
40068, @lerna/rimraf-dir, v3.18.1, True
40069, @lerna/rimraf-dir, v3.18.0, True
40070, @lerna/rimraf-dir, v3.17.0, True
40071, @lerna/rimraf-dir, v3.16.5, True
40072, @lerna/rimraf-dir, v3.16.4, True
40073, @lerna/rimraf-dir, v3.16.3, True
40074, @lerna/rimraf-dir, v3.16.2, True
40075, @lerna/rimraf-dir, v3.16.1, True
40076, @lerna/rimraf-dir, v3.16.0, True
40077, @lerna/rimraf-dir, v3.15.0, True
40078, @lerna/rimraf-dir, v3.14.2, True
40079, @lerna/rimraf-dir, v3.14.1, True
40080, @lerna/rimraf-dir, v3.14.0, True
40081, @lerna/rimraf-dir, v3.13.4, True
