id, name, version, is_ok, num_vuln, critical, high, medium, low
152, react-native, v0.66.2, False, 23, 0, 13, 10, 0
153, electron, v16.0.0-beta.7, True
154, zone.js, 13.1.0-next.0, False, 16, 0, 1, 12, 3
155, zone.js, 12.2.13, False, 24, 0, 8, 13, 3
156, zone.js, 13.0.0, False, 16, 0, 1, 12, 3
157, @angular/core, 13.1.0-next.0, True
158, @angular/core, 12.2.13, True
159, @angular/core, 13.0.0, True
160, @angular/platform-browser-dynamic, 13.1.0-next.0, True
161, @angular/platform-browser-dynamic, 12.2.13, True
162, @angular/platform-browser-dynamic, 13.0.0, True
163, angular2, 13.1.0-next.0, False, 16, 0, 1, 12, 3
164, angular2, 12.2.13, False, 24, 0, 8, 13, 3
165, angular2, 13.0.0, False, 16, 0, 1, 12, 3
166, @angular/platform-browser, 13.1.0-next.0, True
167, @angular/platform-browser, 12.2.13, True
168, @angular/platform-browser, 13.0.0, True
169, @angular/forms, 13.1.0-next.0, True
170, @angular/forms, 12.2.13, True
171, @angular/forms, 13.0.0, True
172, @angular/compiler, 13.1.0-next.0, True
173, @angular/compiler, 12.2.13, True
174, @angular/compiler, 13.0.0, True
175, @angular/platform-server, 13.1.0-next.0, True
176, @angular/platform-server, 12.2.13, True
177, @angular/platform-server, 13.0.0, True
178, @angular/compiler-cli, 13.1.0-next.0, True
179, @angular/compiler-cli, 12.2.13, True
180, @angular/compiler-cli, 13.0.0, True
181, @angular/common, 13.1.0-next.0, True
182, @angular/common, 12.2.13, True
183, @angular/common, 13.0.0, True
184, @angular/animations, 13.1.0-next.0, True
185, @angular/animations, 12.2.13, True
186, @angular/animations, 13.0.0, True
187, @angular/http, 13.1.0-next.0, False, 16, 0, 1, 12, 3
188, @angular/http, 12.2.13, False, 24, 0, 8, 13, 3
189, @angular/http, 13.0.0, False, 16, 0, 1, 12, 3
190, @angular/router, 13.1.0-next.0, True
191, @angular/router, 12.2.13, True
192, @angular/router, 13.0.0, True
193, rtts_assert, 13.1.0-next.0, False, 16, 0, 1, 12, 3
194, rtts_assert, 12.2.13, False, 24, 0, 8, 13, 3
195, rtts_assert, 13.0.0, False, 16, 0, 1, 12, 3
196, rtts_assert, 13.0.0-rc.3, False, 16, 0, 1, 12, 3
197, rtts_assert, 13.0.0-rc.2, False, 16, 0, 1, 12, 3
198, rtts_assert, 12.2.12, False, 24, 0, 8, 13, 3
199, rtts_assert, 13.0.0-rc.1, False, 16, 0, 1, 12, 3
200, rtts_assert, 12.2.11, False, 24, 0, 8, 13, 3
201, rtts_assert, 13.0.0-rc.0, False, 16, 0, 1, 12, 3
202, rtts_assert, 12.2.10, False, 24, 0, 8, 13, 3
203, rtts_assert, 13.0.0-next.15, False, 16, 0, 1, 12, 3
204, rtts_assert, 13.0.0-next.14, False, 16, 0, 1, 12, 3
205, rtts_assert, 12.2.9, False, 24, 0, 8, 13, 3
206, rtts_assert, 13.0.0-next.13, False, 16, 0, 1, 12, 3
207, rtts_assert, 13.0.0-next.12, False, 16, 0, 1, 12, 3
208, rtts_assert, 13.0.0-next.11, False, 16, 0, 1, 12, 3
209, rtts_assert, 13.0.0-next.10, False, 16, 0, 1, 12, 3
210, rtts_assert, 13.0.0-next.9, False, 16, 0, 1, 12, 3
211, rtts_assert, 12.2.8, False, 24, 0, 8, 13, 3
212, rtts_assert, 13.0.0-next.8, False, 16, 0, 1, 12, 3
213, rtts_assert, 13.0.0-next.7, False, 23, 0, 7, 13, 3
214, rtts_assert, 12.2.7, False, 24, 0, 8, 13, 3
215, rtts_assert, 13.0.0-next.6, False, 23, 0, 7, 13, 3
216, rtts_assert, 12.2.6, False, 24, 0, 8, 13, 3
217, rtts_assert, 13.0.0-next.5, False, 33, 0, 13, 17, 3
218, rtts_assert, 12.2.5, False, 34, 0, 14, 17, 3
219, rtts_assert, 13.0.0-next.4, False, 33, 0, 13, 17, 3
220, rtts_assert, 12.2.4, False, 34, 0, 14, 17, 3
221, rtts_assert, 13.0.0-next.3, False, 33, 0, 13, 17, 3
222, rtts_assert, 12.2.3, False, 34, 0, 14, 17, 3
223, next, v12.0.3-canary.9, True
224, next, v12.0.3-canary.8, True
225, next, v12.0.3-canary.7, True
226, next, v12.0.3-canary.6, True
227, next, v12.0.3-canary.5, True
228, next, v12.0.3-canary.4, True
229, next, v12.0.3-canary.3, True
230, puppeteer-core, v11.0.0, True
231, puppeteer-core, v10.4.0, True
232, puppeteer-core, v10.2.0, True
233, puppeteer-core, v10.1.0, True
234, puppeteer-core, v10.0.0, True
235, puppeteer-core, v9.1.1, True
236, puppeteer-core, v9.1.0, True
237, puppeteer-core, v9.0.0, True
238, puppeteer-core, v8.0.0, True
239, puppeteer-core, v7.1.0, True
240, puppeteer-core, v7.0.4, True
241, puppeteer-core, v7.0.3, True
242, puppeteer-core, v7.0.2, True
243, puppeteer-core, v7.0.1, True
244, puppeteer-core, v7.0.0, True
245, puppeteer-core, v6.0.0, True
246, puppeteer-core, v5.5.0, True
247, puppeteer-core, v5.4.1, True
248, puppeteer-core, v5.4.0, True
249, puppeteer-core, v5.3.1, True
250, puppeteer-core, v5.3.0, True
251, puppeteer-core, v5.2.1, True
252, puppeteer-core, v5.2.0, True
253, puppeteer-core, v5.1.0, True
254, puppeteer-core, v5.0.0, True
255, puppeteer-core, v4.0.1, True
256, puppeteer-core, v4.0.0, True
257, puppeteer-core, v3.3.0, True
258, puppeteer-core, v3.2.0, True
259, puppeteer-core, v3.1.0, True
260, puppeteer, v11.0.0, True
261, @storybook/react, v6.4.0-beta.28, False, 41, 0, 20, 21, 0
262, @storybook/react, v6.4.0-beta.27, False, 41, 0, 20, 21, 0
263, @storybook/core-events, v6.4.0-beta.28, True
264, @storybook/core-events, v6.4.0-beta.27, True
