id, name, version, is_ok, num_vuln, critical, high, medium, low
5113, conventional-changelog-conventionalcommits, v0.4.3, False, 46, 3, 23, 20, 0
5114, conventional-changelog-conventionalcommits, v0.4.2, False, 46, 3, 23, 20, 0
5115, conventional-changelog-conventionalcommits, v0.4.1, False, 46, 3, 23, 20, 0
5116, conventional-changelog-conventionalcommits, v0.4.0, False, 46, 3, 23, 20, 0
5117, conventional-changelog-conventionalcommits, v0.3.2, False, 46, 3, 23, 20, 0
5118, conventional-changelog-conventionalcommits, v0.3.0, False, 46, 3, 23, 20, 0
5119, conventional-changelog-conventionalcommits, v0.3.1, False, 46, 3, 23, 20, 0
5120, conventional-changelog-conventionalcommits, v0.2.0, False, 46, 3, 23, 20, 0
5121, github-markdown-css, v5.0.0, True
5122, github-markdown-css, v4.0.0, True
5123, github-markdown-css, v3.0.1, True
5124, github-markdown-css, v3.0.0, True
5125, github-markdown-css, 0.2.0, False, 37, 1, 9, 24, 3
5126, bizcharts, v3.5.10, False, 5, 0, 0, 5, 0
5127, bizcharts, v4.1.14, False, 10, 0, 0, 10, 0
5128, bizcharts, v4.1.13, False, 10, 0, 0, 10, 0
5129, bizcharts, v4.1.12, False, 10, 0, 0, 10, 0
5130, bizcharts, 4.1.11, False, 10, 0, 0, 10, 0
5131, bizcharts, v4.1.10, False, 10, 0, 0, 10, 0
5132, bizcharts, v4.1.9, False, 10, 0, 0, 10, 0
5133, bizcharts, v4.1.8, False, 10, 0, 0, 10, 0
5134, bizcharts, v4.1.7, False, 10, 0, 0, 10, 0
5135, bizcharts, v4.1.6, False, 10, 0, 0, 10, 0
5136, bizcharts, v4.1.5, False, 10, 0, 0, 10, 0
5137, bizcharts, v4.1.4, False, 10, 0, 0, 10, 0
5138, bizcharts, v4.1.3, False, 10, 0, 0, 10, 0
5139, bizcharts, v4.1.1, False, 10, 0, 0, 10, 0
5140, bizcharts, v4.1.0, False, 10, 0, 0, 10, 0
5141, bizcharts, v4.0.16, False, 14, 0, 0, 14, 0
5142, bizcharts, v4.0.15, False, 14, 0, 0, 14, 0
5143, bizcharts, v4.0.14, False, 15, 0, 0, 15, 0
5144, bizcharts, v4.0.13, False, 15, 0, 0, 15, 0
5145, bizcharts, v4.0.12, False, 15, 0, 0, 15, 0
5146, bizcharts, v4.0.11, False, 14, 0, 0, 14, 0
5147, node-telegram-bot-api, v0.50.0, True
5148, node-telegram-bot-api, v0.30.0, True
5149, node-telegram-bot-api, v0.29.0, True
5150, node-telegram-bot-api, v0.28.0, True
5151, node-telegram-bot-api, v0.27.1, True
5152, node-telegram-bot-api, v0.27.0, True
5153, node-telegram-bot-api, v0.26.0, True
5154, node-telegram-bot-api, v0.25.0, True
5155, bs-platform, 9.1.4, True
5156, bs-platform, 9.1.3, True
5157, bs-platform, 9.1.2, True
5158, bs-platform, 9.0.2, True
5159, bs-platform, 9.0.1, True
5160, bs-platform, 9.0.0, True
5161, bs-platform, 8.4.2, True
5162, bs-platform, 8.3.1, True
5163, bs-platform, 8.2.0, True
5164, bs-platform, 8.0.3, True
5165, bs-platform, 8.0.1, True
5166, bs-platform, 7.3.2, True
5167, bs-platform, 7.3.1, True
5168, bs-platform, 7.2.2, True
5169, bs-platform, 7.2.0, True
5170, bs-platform, 7.1.0, True
5171, bs-platform, 7.0.1, True
5172, bs-platform, 6.2.1, True
5173, bs-platform, 5.2.1, True
5174, bs-platform, 6.2.0, True
5175, bs-platform, 5.2.0, True
5176, bs-platform, 3.1.0, True
5177, bs-platform, 3.0.0, True
5178, bs-platform, 2.2.3, True
5179, bs-platform, 1.9.0, True
5180, bs-platform, 1.4.3, True
5181, bs-platform, 1.4.2, True
5182, bs-platform, 1.4.1, True
5183, bs-platform, 1.0, True
5184, zombie, 6.1.4, True
5185, x-ray, 2.3.4, False, 4, 0, 2, 2, 0
5186, x-ray, 2.1.0, False, 4, 0, 1, 1, 2
5187, config, v3.3.6, True
5188, seamless-immutable, 7.1.4, True
5189, unfetch, 4.2.0, True
5190, unfetch, 4.1.0, True
5191, unfetch, 4.0.1, True
5192, unfetch, 3.1.2, True
5193, unfetch, 4.0.0, True
5194, unfetch, 3.1.1, True
5195, unfetch, 3.1.0, True
5196, unfetch, 3.0.0, True
5197, unfetch, 2.1.2, True
5198, unfetch, 2.1.1, True
5199, unfetch, 2.1.0, True
5200, unfetch, 2.0.1, True
5201, unfetch, 2.0.0, True
5202, unfetch, 1.0.1, True
5203, isomorphic-unfetch, 4.2.0, True
5204, isomorphic-unfetch, 4.1.0, True
5205, isomorphic-unfetch, 4.0.1, True
5206, isomorphic-unfetch, 3.1.2, True
5207, isomorphic-unfetch, 4.0.0, True
5208, isomorphic-unfetch, 3.1.1, True
5209, isomorphic-unfetch, 3.1.0, True
5210, isomorphic-unfetch, 3.0.0, True
5211, isomorphic-unfetch, 2.1.2, True
5212, isomorphic-unfetch, 2.1.1, True
5213, isomorphic-unfetch, 2.1.0, True
5214, isomorphic-unfetch, 2.0.1, True
5215, isomorphic-unfetch, 2.0.0, False, 1, 0, 0, 1, 0
5216, isomorphic-unfetch, 1.0.1, True
5217, edge, v8.2.1, True
5218, edge, v0.9.3, True
5219, vue-property-decorator, v8.4.2, True
5220, vue-property-decorator, v8.3.0, True
5221, vue-property-decorator, v8.2.2, True
5222, vue-property-decorator, v8.2.1, True
5223, vue-property-decorator, v8.2.0, True
5224, vue-property-decorator, v8.1.1, True
5225, vue-property-decorator, v8.1.0, True
5226, vue-property-decorator, v8.0.0, True
5227, vue-property-decorator, v7.3.0, True
5228, vue-property-decorator, v7.2.0, True
5229, vue-property-decorator, v7.1.0, True
5230, vue-property-decorator, v7.0.0, True
5231, vue-property-decorator, v6.1.0, True
5232, vue-property-decorator, v6.0.0, True
5233, vue-property-decorator, v5.3.0, True
5234, vue-property-decorator, v5.2.1, True
5235, npm, v8.1.3, False, 2, 0, 2, 0, 0
5236, @std/esm, 3.2.25, True
5237, @std/esm, 3.2.24, True
5238, @std/esm, 3.2.23, True
5239, @std/esm, 3.2.22, True
5240, @std/esm, 3.2.21, True
5241, @std/esm, 3.2.20, True
5242, @std/esm, 3.2.19, True
5243, @std/esm, 3.2.18, True
5244, @std/esm, 3.2.17, True
5245, @std/esm, 3.2.16, True
5246, @std/esm, 3.2.15, True
5247, @std/esm, 3.2.14, True
5248, @std/esm, 3.2.13, True
5249, @std/esm, 3.2.12, True
5250, @std/esm, 3.2.11, True
5251, @std/esm, 3.2.10, True
5252, @std/esm, 3.2.9, True
5253, @std/esm, 3.2.8, True
5254, @std/esm, 3.2.7, True
5255, @std/esm, 3.2.6, True
5256, @std/esm, 3.2.5, True
5257, @std/esm, 3.2.4, True
5258, @std/esm, 3.2.3, True
5259, @std/esm, 3.2.2, True
5260, @std/esm, 3.2.1, True
5261, @std/esm, 3.2.0, True
5262, @std/esm, 3.1.4, True
5263, @std/esm, 3.1.3, True
5264, @std/esm, 3.1.2, True
5265, @std/esm, 3.1.1, True
5266, nodegit, v0.27.0, False, 1, 0, 0, 1, 0
5267, nodegit, v0.27.0-alpha.1, False, 1, 0, 0, 1, 0
5268, nodegit, v0.26.5, False, 1, 0, 0, 1, 0
5269, nodegit, v0.26.4, False, 1, 0, 0, 1, 0
5270, nodegit, v0.26.3, False, 1, 0, 0, 1, 0
5271, nodegit, v0.26.2, False, 5, 0, 4, 1, 0
5272, nodegit, v0.26.1, False, 5, 0, 4, 1, 0
5273, nodegit, v0.26.0, False, 5, 0, 4, 1, 0
5274, nodegit, v0.25.1, False, 5, 0, 4, 1, 0
5275, nodegit, v0.25.0, False, 5, 0, 4, 1, 0
5276, nodegit, v0.25.0-alpha.16, False, 5, 0, 4, 1, 0
5277, nodegit, v0.25.0-alpha.15, False, 5, 0, 4, 1, 0
5278, nodegit, v0.25.0-alpha.14, False, 5, 0, 4, 1, 0
5279, nodegit, v0.25.0-alpha.12, False, 5, 0, 4, 1, 0
5280, nodegit, v0.25.0-alpha.11, False, 5, 0, 4, 1, 0
5281, nodegit, v0.25.0-alpha.13, False, 5, 0, 4, 1, 0
5282, nodegit, v0.25.0-alpha.10, False, 5, 0, 4, 1, 0
5283, nodegit, v0.25.0-alpha.9, False, 11, 0, 9, 1, 1
5284, nodegit, v0.25.0-alpha.8, False, 11, 0, 9, 1, 1
5285, nodegit, v0.25.0-alpha.7, False, 11, 0, 9, 1, 1
5286, nodegit, v0.25.0-alpha.6, False, 11, 0, 9, 1, 1
5287, nodegit, v0.24.1, False, 11, 0, 9, 1, 1
5288, nodegit, v0.23.1, False, 11, 0, 9, 1, 1
5289, nodegit, v0.25.0-alpha.5, False, 11, 0, 9, 1, 1
5290, nodegit, v0.25.0-alpha.4, False, 11, 0, 9, 1, 1
5291, nodegit, v0.25.0-alpha.3, False, 11, 0, 9, 1, 1
5292, nodegit, v0.25.0-alpha.2, False, 11, 0, 9, 1, 1
5293, nodegit, v0.25.0-alpha.1, False, 11, 0, 9, 1, 1
5294, nodegit, v0.24.0, False, 11, 0, 9, 1, 1
5295, nodegit, v0.23.0, False, 11, 0, 9, 1, 1
5296, io-ts, 2.2.16, True
5297, io-ts, 2.2.15, True
5298, io-ts, 2.2.14, True
5299, io-ts, 2.2.13, True
5300, io-ts, 2.2.12, True
5301, io-ts, 2.2.11, True
5302, io-ts, 2.2.10, True
5303, io-ts, 2.2.9, True
5304, io-ts, 2.2.8, True
5305, io-ts, 2.2.7, True
5306, io-ts, 2.2.6, True
5307, io-ts, 2.2.5, True
5308, io-ts, 2.2.4, True
5309, io-ts, 2.2.3, True
5310, io-ts, 2.2.2, True
5311, io-ts, 2.2.1, True
5312, io-ts, 2.2.0, True
5313, io-ts, 2.1.3, True
5314, io-ts, 2.1.1, True
5315, io-ts, 2.1.0, True
5316, io-ts, 2.0.6, True
5317, io-ts, 2.0.5, True
5318, io-ts, 2.0.4, True
5319, io-ts, 2.0.3, True
5320, io-ts, 2.0.2, True
5321, io-ts, 2.0.1, True
5322, io-ts, 2.0.0, True
5323, io-ts, 1.10.4, True
5324, io-ts, 1.10.3, True
5325, io-ts, 1.10.2, True
5326, @serialport/bindings, @serialport/bindings@9.2.4, error, Couldn't find the requested package or version
5327, @serialport/bindings, @serialport/bindings@9.2.1, error, Couldn't find the requested package or version
5328, @serialport/bindings, @serialport/bindings@9.2.0, error, Couldn't find the requested package or version
5329, @serialport/bindings, @serialport/bindings@9.1.0, error, Couldn't find the requested package or version
5330, @serialport/bindings, @serialport/bindings@9.0.8, error, Couldn't find the requested package or version
5331, @serialport/bindings, @serialport/bindings@9.0.7, error, Couldn't find the requested package or version
5332, @serialport/bindings, @serialport/bindings@9.0.4, error, Couldn't find the requested package or version
5333, @serialport/bindings, @serialport/bindings@9.0.3, error, Couldn't find the requested package or version
5334, @serialport/bindings, @serialport/bindings@9.0.2, error, Couldn't find the requested package or version
5335, @serialport/bindings, @serialport/bindings@9.0.1, error, Couldn't find the requested package or version
5336, @serialport/bindings, @serialport/bindings@9.0.0, error, Couldn't find the requested package or version
5337, @serialport/bindings, @serialport/bindings@8.0.8, error, Couldn't find the requested package or version
5338, @serialport/bindings, @serialport/bindings@8.0.7, error, Couldn't find the requested package or version
5339, @serialport/bindings, @serialport/bindings@8.0.6, error, Couldn't find the requested package or version
5340, @serialport/bindings, @serialport/bindings@8.0.4, error, Couldn't find the requested package or version
5341, @serialport/bindings, @serialport/bindings@8.0.3, error, Couldn't find the requested package or version
5342, @serialport/bindings, @serialport/bindings@8.0.2, error, Couldn't find the requested package or version
5343, @serialport/bindings, @serialport/bindings@8.0.1, error, Couldn't find the requested package or version
5344, @serialport/bindings, @serialport/bindings@2.0.8, error, Couldn't find the requested package or version
5345, @serialport/bindings, @serialport/bindings@2.0.7, error, Couldn't find the requested package or version
5346, @serialport/bindings, @serialport/bindings@2.0.6, error, Couldn't find the requested package or version
5347, @serialport/bindings, @serialport/bindings@2.0.5, error, Couldn't find the requested package or version
5348, @serialport/bindings, @serialport/bindings@2.0.4, error, Couldn't find the requested package or version
5349, @serialport/bindings, @serialport/bindings@2.0.3, error, Couldn't find the requested package or version
5350, @serialport/bindings, @serialport/bindings@2.0.2, error, Couldn't find the requested package or version
5351, @serialport/bindings, v6.2.2, False, 5, 0, 2, 3, 0
5352, @serialport/bindings, v6.2.1, False, 5, 0, 2, 3, 0
5353, @serialport/bindings, v6.2.0, False, 5, 0, 2, 3, 0
5354, @serialport/bindings, v6.1.1, False, 5, 0, 2, 3, 0
5355, @serialport/bindings, v6.1.0, False, 5, 0, 2, 3, 0
5356, @serialport/parser-byte-length, @serialport/bindings@9.2.4, error, Couldn't find the requested package or version
5357, @serialport/parser-byte-length, @serialport/bindings@9.2.1, error, Couldn't find the requested package or version
5358, @serialport/parser-byte-length, @serialport/bindings@9.2.0, error, Couldn't find the requested package or version
5359, @serialport/parser-byte-length, @serialport/bindings@9.1.0, error, Couldn't find the requested package or version
5360, @serialport/parser-byte-length, @serialport/bindings@9.0.8, error, Couldn't find the requested package or version
5361, @serialport/parser-byte-length, @serialport/bindings@9.0.7, error, Couldn't find the requested package or version
5362, @serialport/parser-byte-length, @serialport/bindings@9.0.4, error, Couldn't find the requested package or version
5363, @serialport/parser-byte-length, @serialport/bindings@9.0.3, error, Couldn't find the requested package or version
5364, @serialport/parser-byte-length, @serialport/bindings@9.0.2, error, Couldn't find the requested package or version
5365, @serialport/parser-byte-length, @serialport/bindings@9.0.1, error, Couldn't find the requested package or version
5366, @serialport/parser-byte-length, @serialport/bindings@9.0.0, error, Couldn't find the requested package or version
5367, @serialport/parser-byte-length, @serialport/bindings@8.0.8, error, Couldn't find the requested package or version
5368, @serialport/parser-byte-length, @serialport/bindings@8.0.7, error, Couldn't find the requested package or version
5369, @serialport/parser-byte-length, @serialport/bindings@8.0.6, error, Couldn't find the requested package or version
5370, @serialport/parser-byte-length, @serialport/bindings@8.0.4, error, Couldn't find the requested package or version
5371, @serialport/parser-byte-length, @serialport/bindings@8.0.3, error, Couldn't find the requested package or version
5372, @serialport/parser-byte-length, @serialport/bindings@8.0.2, error, Couldn't find the requested package or version
5373, @serialport/parser-byte-length, @serialport/bindings@8.0.1, error, Couldn't find the requested package or version
5374, @serialport/parser-byte-length, @serialport/bindings@2.0.8, error, Couldn't find the requested package or version
5375, @serialport/parser-byte-length, @serialport/bindings@2.0.7, error, Couldn't find the requested package or version
5376, @serialport/parser-byte-length, @serialport/bindings@2.0.6, error, Couldn't find the requested package or version
5377, @serialport/parser-byte-length, @serialport/bindings@2.0.5, error, Couldn't find the requested package or version
5378, @serialport/parser-byte-length, @serialport/bindings@2.0.4, error, Couldn't find the requested package or version
5379, @serialport/parser-byte-length, @serialport/bindings@2.0.3, error, Couldn't find the requested package or version
5380, @serialport/parser-byte-length, @serialport/bindings@2.0.2, error, Couldn't find the requested package or version
5381, @serialport/parser-byte-length, v6.2.2, False, 5, 0, 2, 3, 0
5382, @serialport/parser-byte-length, v6.2.1, False, 5, 0, 2, 3, 0
5383, @serialport/parser-byte-length, v6.2.0, False, 5, 0, 2, 3, 0
5384, @serialport/parser-byte-length, v6.1.1, False, 5, 0, 2, 3, 0
5385, @serialport/parser-byte-length, v6.1.0, False, 5, 0, 2, 3, 0
5386, @serialport/binding-mock, @serialport/bindings@9.2.4, error, Couldn't find the requested package or version
5387, @serialport/binding-mock, @serialport/bindings@9.2.1, error, Couldn't find the requested package or version
5388, @serialport/binding-mock, @serialport/bindings@9.2.0, error, Couldn't find the requested package or version
5389, @serialport/binding-mock, @serialport/bindings@9.1.0, error, Couldn't find the requested package or version
5390, @serialport/binding-mock, @serialport/bindings@9.0.8, error, Couldn't find the requested package or version
5391, @serialport/binding-mock, @serialport/bindings@9.0.7, error, Couldn't find the requested package or version
5392, @serialport/binding-mock, @serialport/bindings@9.0.4, error, Couldn't find the requested package or version
5393, @serialport/binding-mock, @serialport/bindings@9.0.3, error, Couldn't find the requested package or version
5394, @serialport/binding-mock, @serialport/bindings@9.0.2, error, Couldn't find the requested package or version
5395, @serialport/binding-mock, @serialport/bindings@9.0.1, error, Couldn't find the requested package or version
5396, @serialport/binding-mock, @serialport/bindings@9.0.0, error, Couldn't find the requested package or version
5397, @serialport/binding-mock, @serialport/bindings@8.0.8, error, Couldn't find the requested package or version
5398, @serialport/binding-mock, @serialport/bindings@8.0.7, error, Couldn't find the requested package or version
5399, @serialport/binding-mock, @serialport/bindings@8.0.6, error, Couldn't find the requested package or version
5400, @serialport/binding-mock, @serialport/bindings@8.0.4, error, Couldn't find the requested package or version
5401, @serialport/binding-mock, @serialport/bindings@8.0.3, error, Couldn't find the requested package or version
5402, @serialport/binding-mock, @serialport/bindings@8.0.2, error, Couldn't find the requested package or version
5403, @serialport/binding-mock, @serialport/bindings@8.0.1, error, Couldn't find the requested package or version
5404, @serialport/binding-mock, @serialport/bindings@2.0.8, error, Couldn't find the requested package or version
5405, @serialport/binding-mock, @serialport/bindings@2.0.7, error, Couldn't find the requested package or version
5406, @serialport/binding-mock, @serialport/bindings@2.0.6, error, Couldn't find the requested package or version
5407, @serialport/binding-mock, @serialport/bindings@2.0.5, error, Couldn't find the requested package or version
