X.1,Name,Release.Name,X,Repository.URL,Release.URL,id,is_ok,num_vuln,critical,high,medium,low
470,jekyll,v3.7.3,2745,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.7.3,470,error,Couldn't find the requested package or version,NA,NA,NA,NA
471,jekyll,v3.7.2,2746,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.7.2,471,error,Couldn't find the requested package or version,NA,NA,NA,NA
472,jekyll,v3.7.0,2747,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.7.0,472,error,Couldn't find the requested package or version,NA,NA,NA,NA
473,jekyll,v3.6.1,2748,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.6.1,473,error,Couldn't find the requested package or version,NA,NA,NA,NA
474,jekyll,v3.6.2,2749,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.6.2,474,error,Couldn't find the requested package or version,NA,NA,NA,NA
475,jekyll,v3.6.0,2750,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.6.0,475,error,Couldn't find the requested package or version,NA,NA,NA,NA
476,jekyll,v3.6.0.pre.beta1,2751,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.6.0.pre.beta1,476,error,Couldn't find the requested package or version,NA,NA,NA,NA
477,jekyll,v3.5.2,2752,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.5.2,477,error,Couldn't find the requested package or version,NA,NA,NA,NA
478,jekyll,v3.5.1,2753,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.5.1,478,error,Couldn't find the requested package or version,NA,NA,NA,NA
1197,formik,formik-native@2.1.17,8202,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.17,1197,error,Couldn't find the requested package or version,NA,NA,NA,NA
1198,formik,formik@2.2.9,8203,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%402.2.9,1198,error,Couldn't find the requested package or version,NA,NA,NA,NA
1199,formik,formik@2.2.8,8204,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%402.2.8,1199,error,Couldn't find the requested package or version,NA,NA,NA,NA
1200,formik,formik-native@2.1.16,8205,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.16,1200,error,Couldn't find the requested package or version,NA,NA,NA,NA
1201,formik,formik-native@2.1.15,8206,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.15,1201,error,Couldn't find the requested package or version,NA,NA,NA,NA
1202,formik,formik@2.2.7,8207,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%402.2.7,1202,error,Couldn't find the requested package or version,NA,NA,NA,NA
1203,formik,formik-native@2.1.14,8208,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.14,1203,error,Couldn't find the requested package or version,NA,NA,NA,NA
1204,formik,formik@2.2.6,8209,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%402.2.6,1204,error,Couldn't find the requested package or version,NA,NA,NA,NA
1205,formik,formik@3.0.0-next.8,8210,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%403.0.0-next.8,1205,error,Couldn't find the requested package or version,NA,NA,NA,NA
1206,formik,formik-native@2.1.10-next.8,8211,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.10-next.8,1206,error,Couldn't find the requested package or version,NA,NA,NA,NA
1207,formik,formik@3.0.0-next.7,8212,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%403.0.0-next.7,1207,error,Couldn't find the requested package or version,NA,NA,NA,NA
1208,formik,formik-native@2.1.10-next.7,8213,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.10-next.7,1208,error,Couldn't find the requested package or version,NA,NA,NA,NA
